1445171925 timestamp;capacitance;temperature;light
1452567774 ;313;197;-30590
1452567832 ;313;197;-30716
1452567890 ;312;197;-30717
1452567947 ;314;197;-30971
1452568005 ;312;197;-30729
1452568063 ;314;197;-30740
1452568121 ;313;197;-30888
1452568178 ;313;197;-30721
1452568236 ;313;197;-31000
1452568294 ;314;197;-31395
1452568351 ;312;197;-31531
1452568409 ;314;197;-31719
1452568467 ;313;197;-31833
1452568525 ;313;197;-31773
1452568583 ;314;197;-32293
1452568640 ;314;197;-31849
1452568698 ;312;197;-31365
1452568756 ;313;197;-32057
1452568813 ;313;197;-32192
1452568871 ;312;197;-32325
1452568929 ;312;197;-31840
1452568986 ;313;197;-32186
1452569044 ;313;197;-32166
1452569101 ;313;197;-32367
1452569159 ;312;197;-32234
1452569217 ;313;197;-32276
1452569274 ;313;197;-32236
1452569332 ;313;197;-32240
1452569389 ;313;197;-32299
1452569447 ;313;197;-31861
1452569505 ;314;197;-31364
1452569563 ;314;197;-32244
1452569620 ;313;197;-31978
1452569678 ;313;197;-31905
1452569736 ;313;197;-31996
1452569793 ;313;197;-31770
1452569851 ;313;197;-31943
1452569909 ;314;197;-31633
1452569966 ;312;197;-31657
1452570024 ;313;197;-31501
1452570082 ;313;198;-31547
1452570139 ;313;197;-31142
1452570197 ;314;197;-31513
1452570255 ;312;197;-31203
1452570313 ;313;197;-31362
1452570370 ;314;197;-31116
1452570428 ;312;197;-31105
1452570486 ;313;197;-31201
1452570544 ;312;197;-31220
1452570601 ;313;197;-31058
1452570659 ;313;197;-30798
1452570716 ;312;197;-30776
1452570774 ;313;197;-30819
1452570832 ;313;197;-30996
1452570889 ;313;197;-30943
1452570947 ;313;197;-30829
1452571005 ;313;197;-30736
1452571063 ;311;197;-30985
1452571121 ;313;197;-30766
1452571178 ;313;197;-30819
1452571236 ;313;197;-30689
1452571294 ;313;197;-30923
1452571352 ;312;197;-31078
1452571409 ;312;197;-30779
1452571467 ;313;197;-31461
1452571525 ;313;197;-31101
1452571583 ;313;196;-31491
1452571640 ;313;196;-32152
1452571698 ;312;196;-31408
1452571756 ;314;196;-32085
1452571814 ;314;196;-32100
1452571871 ;313;197;-31906
1452571929 ;313;197;-32169
1452571986 ;314;196;-31972
1452572044 ;313;197;-32353
1452572101 ;313;196;-32600
1452572159 ;314;197;-32569
1452572217 ;314;197;-32680
1452572275 ;311;197;32746
1452572332 ;314;197;32718
1452572390 ;313;197;-32597
1452572447 ;314;197;32538
1452572505 ;313;197;-32408
1452572563 ;314;197;32449
1452572620 ;312;197;32466
1452572678 ;314;197;-32685
1452572735 ;313;197;-32239
1452572793 ;312;197;-32410
1452572851 ;313;197;-32620
1452572908 ;312;197;-32747
1452572966 ;314;198;-32507
1452573024 ;314;198;-32653
1452573081 ;312;197;-32207
1452573139 ;312;198;-32314
1452573197 ;314;198;-32158
1452573254 ;313;198;-31896
1452573312 ;312;198;-32217
1452573370 ;313;198;-32104
1452573427 ;313;198;-31705
1452573485 ;312;198;-31878
1452573543 ;313;198;-31920
1452573601 ;313;198;-31829
1452573658 ;314;198;-32389
1452573716 ;313;198;-31536
1452573774 ;313;198;-31843
1452573832 ;313;198;-31476
1452573889 ;313;198;-31504
1452573947 ;312;198;-31197
1452574004 ;313;198;-31351
1452574062 ;312;198;-31358
1452574119 ;313;198;-31222
1452574177 ;313;198;-31334
1452574234 ;312;198;-31053
1452574292 ;312;198;-31223
1452574350 ;314;198;-31249
1452574408 ;312;198;-31155
1452574465 ;313;198;-31135
1452574523 ;311;198;-31042
1452574581 ;312;198;-31052
1452574638 ;313;198;-30660
1452574696 ;314;197;-30606
1452574754 ;312;197;-31206
1452574812 ;313;197;-30638
1452574869 ;313;197;-30773
1452574927 ;313;197;-30672
1452574985 ;313;197;-30696
1452575042 ;314;197;-31012
1452575100 ;312;197;-31096
1452575158 ;313;197;-30577
1452575215 ;312;197;-30974
1452575273 ;313;197;-30710
1452575331 ;313;197;-30902
1452575388 ;313;197;-30588
1452575446 ;313;197;-30896
1452575504 ;312;197;-31161
1452575562 ;312;197;-31266
1452575619 ;312;197;-31453
1452575677 ;313;197;-31597
1452575735 ;312;197;-31335
1452575792 ;313;197;-31532
1452575850 ;313;197;-32394
1452575908 ;313;197;-32297
1452575966 ;312;197;-32361
1452576023 ;313;197;-31683
1452576081 ;313;197;-32055
1452576139 ;314;197;-32365
1452576196 ;313;197;-32274
1452576254 ;314;197;-31422
1452576312 ;314;197;-31761
1452576369 ;313;197;-31918
1452576427 ;315;197;-32051
1452576485 ;313;197;-31839
1452576543 ;312;197;-32017
1452576600 ;313;197;-31975
1452576658 ;313;197;-32066
1452576716 ;313;197;-31700
1452576774 ;313;197;-31759
1452576831 ;313;197;-31476
1452576889 ;313;197;-30466
1452576946 ;313;197;-30140
1452577004 ;313;197;-29558
1452577062 ;313;197;-29259
1452577119 ;314;197;-29126
1452577177 ;312;197;-28451
1452577235 ;313;196;-28342
1452577293 ;312;196;-27884
1452577350 ;312;196;-27987
1452577408 ;313;195;-27981
1452577466 ;312;194;-27323
1452577524 ;313;194;-27291
1452577581 ;313;193;-27952
1452577639 ;313;193;-27140
1452577697 ;314;192;-26990
1452577755 ;311;192;-27120
1452577813 ;312;191;-26394
1452577871 ;311;190;-26730
1452577928 ;312;190;-27377
1452577986 ;314;189;-27785
1452578044 ;313;188;-28644
1452578102 ;313;188;-31800
1452578160 ;312;188;-28895
1452578217 ;312;187;-29158
1452578275 ;313;187;-29134
1452578333 ;312;186;-29197
1452578391 ;312;186;-29036
1452578448 ;313;186;-29190
1452578506 ;312;186;-29284
1452578564 ;312;185;-29050
1452578621 ;313;185;-29249
1452578679 ;311;185;-29248
1452578737 ;313;185;-29338
1452578794 ;313;185;-29632
1452578852 ;312;185;-29068
1452578910 ;313;185;-29271
1452578967 ;312;185;-29044
1452579025 ;313;185;-29179
1452579082 ;313;185;-29059
1452579140 ;312;185;-28764
1452579198 ;312;185;-28506
1452579255 ;313;185;-28447
1452579313 ;314;185;-28518
1452579370 ;312;185;-28939
1452579428 ;312;185;-28524
1452579486 ;313;185;-28996
1452579543 ;312;185;-28965
1452579601 ;313;185;-28452
1452579659 ;312;185;-29041
1452579717 ;312;185;-29304
1452579774 ;312;185;-28706
1452579832 ;313;185;-28809
1452579889 ;312;185;-28955
1452579947 ;311;185;-28477
1452580005 ;314;185;-29587
1452580063 ;313;185;-28808
1452580121 ;312;185;-30164
1452580178 ;310;185;-29089
1452580236 ;312;185;-28772
1452580294 ;312;185;-29066
1452580351 ;313;185;-28458
1452580409 ;313;185;-29074
1452580467 ;313;185;-29234
1452580525 ;312;185;-29145
1452580582 ;312;185;-29086
1452580640 ;313;185;-29277
1452580698 ;312;185;-28604
1452580756 ;313;185;-28927
1452580813 ;313;185;-29073
1452580871 ;312;185;-28922
1452580929 ;313;185;-29755
1452580986 ;312;185;-29227
1452581044 ;313;185;-28973
1452581102 ;313;185;-28886
1452581160 ;312;185;-29351
1452581217 ;312;185;-29146
1452581275 ;312;185;-29958
1452581333 ;312;185;-29385
1452581391 ;313;185;-29491
1452581448 ;312;185;-30474
1452581506 ;312;185;-29206
1452581564 ;313;185;-29151
1452581622 ;313;185;-29127
1452581680 ;314;185;-29457
1452581737 ;312;185;-29372
1452581795 ;312;185;-29525
1452581853 ;313;185;-30546
1452581911 ;313;185;-30134
1452581968 ;312;185;-29485
1452582026 ;312;185;-29947
1452582084 ;312;186;-30123
1452582142 ;313;185;-30295
1452582199 ;313;185;-30249
1452582257 ;313;185;-30493
1452582315 ;313;185;-30397
1452582373 ;313;185;-31025
1452582430 ;313;185;-30713
1452582488 ;312;185;-31052
1452582546 ;311;185;-31228
1452582603 ;312;185;-31214
1452582661 ;312;185;-31424
1452582719 ;314;185;-32083
1452582777 ;312;185;-27747
1452582835 ;312;185;-27815
1452582892 ;313;185;-28647
1452582950 ;313;185;-29615
1452583008 ;312;185;-30619
1452583066 ;312;185;-31049
1452583124 ;312;185;-31105
1452583182 ;312;185;-31687
1452583239 ;314;185;-32391
1452583297 ;312;185;32531
1452583355 ;311;185;32276
1452583412 ;312;185;31627
1452583470 ;312;185;31690
1452583527 ;314;185;30961
1452583585 ;312;185;30752
1452583643 ;313;185;30305
1452583700 ;312;185;29299
1452583758 ;312;185;28557
1452583816 ;313;185;28382
1452583873 ;312;185;27991
1452583931 ;311;185;28077
1452583989 ;312;185;27599
1452584046 ;312;185;26765
1452584104 ;313;185;25644
1452584161 ;312;185;24514
1452584219 ;311;185;23227
1452584277 ;313;185;21823
1452584334 ;313;185;20284
1452584392 ;312;185;19680
1452584449 ;313;185;19433
1452584507 ;313;185;18746
1452584564 ;312;185;18166
1452584622 ;313;185;17111
1452584679 ;311;185;16256
1452584737 ;312;185;15986
1452584794 ;312;185;15654
1452584852 ;313;185;14644
1452584909 ;312;185;13482
1452584967 ;313;185;12921
1452585024 ;313;185;13226
1452585082 ;312;185;13732
1452585139 ;314;186;13031
1452585197 ;313;186;12470
1452585255 ;312;186;11565
1452585312 ;312;186;11023
1452585370 ;311;186;10847
1452585427 ;312;186;10884
1452585485 ;312;186;9811
1452585543 ;312;186;9194
1452585600 ;312;186;8721
1452585658 ;312;186;8384
1452585715 ;312;186;8778
1452585773 ;313;186;10028
1452585830 ;312;186;11212
1452585888 ;313;186;11874
1452585945 ;312;187;10784
1452586003 ;313;186;11528
1452586061 ;311;187;11095
1452586118 ;313;186;11066
1452586176 ;313;187;11021
1452586233 ;312;187;11388
1452586291 ;312;187;11430
1452586349 ;313;187;10970
1452586406 ;312;187;10399
1452586464 ;312;187;9967
