timestamp;capacitance;temperature;light
;320;138;-25099
;319;138;-25506
;320;138;-26009
;319;138;-26413
;321;138;-26272
;320;138;-26371
;319;138;-26215
;320;138;-26297
;319;138;-26326
;320;138;-26716
;320;138;-29808
;319;138;-26788
;320;138;-26499
;320;138;-27668
;321;138;-28291
;318;139;-28875
;320;139;-29260
;319;139;-29226
;320;139;-29597
;321;139;-30039
;319;140;-30227
;320;140;-30152
;319;141;-30809
;319;141;-30780
;319;142;-30990
;320;142;-30716
;319;143;-31204
;320;143;-30898
;320;144;-31327
;319;144;-31426
;320;144;-31364
;320;145;-32020
;319;146;-31991
;318;146;-31784
;319;147;-32104
;320;147;-31756
;319;148;-31859
;321;149;-32195
;320;149;-32003
;320;149;-32366
;320;150;-32379
;319;150;-32508
;320;152;-32354
;320;153;-32216
;320;153;-32046
;319;154;-32124
;319;154;-32622
;319;155;-32213
;320;155;-32140
;319;156;-32061
;320;156;-32062
;320;156;-32276
;321;157;-32224
;321;158;-32104
;321;158;-31581
;319;159;-31992
;319;159;-31746
;319;160;-31642
;319;159;-31829
;320;160;-31597
;321;160;-31654
;319;161;-31446
;320;161;-31512
;320;162;-31350
;319;162;-31100
;320;162;-31235
;321;163;-30922
;321;163;-31199
;321;163;-30841
;321;163;-30937
;321;164;-30970
;319;164;-30697
;319;164;-30831
;319;164;-30557
;321;164;-30572
;320;165;-30514
;320;164;-30429
;320;165;-30408
;320;165;-30408
;320;165;-30274
;321;166;-30372
;320;165;-30105
;321;165;-30134
;320;166;-30186
;320;166;-29799
;320;166;-30006
;321;166;-29830
;320;166;-30280
;321;167;-30043
;321;166;-29916
;321;167;-30081
;321;167;-29413
;320;167;-29363
;321;167;-29227
;321;167;-29819
;321;167;-29580
;320;167;-29074
;321;167;-29104
;320;167;-29385
;319;167;-29295
;321;167;-28847
;321;167;-29139
;320;167;-29022
;319;167;-29343
;321;167;-29245
;321;167;-29248
;320;168;-28625
;320;168;-28633
;321;167;-29140
;321;168;-28775
;319;167;-28589
;320;167;-29058
;320;167;-28447
;321;168;-28812
;321;168;-28802
;321;168;-28458
;320;168;-28423
;319;168;-28377
;321;168;-28171
;319;167;-28837
;321;167;-28689
;321;167;-28599
;321;167;-28653
;321;167;-28443
;322;168;-28156
;320;168;-28025
;321;167;-28319
;321;167;-28439
;320;167;-28344
;321;168;-27932
;322;168;-27971
;321;167;-28111
;319;168;-27797
;321;167;-28477
;319;167;-27932
;320;167;-28299
;321;167;-28411
;321;167;-28359
;320;167;-28296
;321;167;-28493
;321;167;-27990
;320;167;-27882
;320;167;-27918
;321;167;-27768
;320;167;-28404
;320;167;-27910
;320;168;-27838
;321;167;-27701
;321;167;-27967
;321;167;-28224
;321;167;-28337
;321;167;-27938
;321;167;-28220
;321;167;-28213
;321;167;-28172
;321;167;-28149
;321;167;-28214
;321;167;-27745
;321;167;-27751
;321;167;-28168
;320;167;-28156
;320;167;-28280
;321;167;-28325
;320;167;-27603
;320;167;-27816
;320;167;-28032
;319;166;-28328
;320;167;-28032
;320;167;-28166
;321;167;-27714
;321;167;-27869
;321;167;-28183
;321;167;-28057
;320;167;-27557
;320;167;-27719
;321;167;-28051
;320;167;-27755
;321;167;-27568
;321;166;-28092
;323;167;-28229
;321;167;-27494
;321;167;-27758
;321;167;-27994
;322;167;-27429
;321;167;-28124
;321;166;-28195
;319;167;-27749
;321;167;-28008
;321;167;-27862
;320;167;-27793
;319;167;-27943
;321;167;-28305
;320;166;-28050
;320;167;-27741
;321;167;-28087
;320;167;-27839
;321;167;-27771
;321;167;-27844
;321;166;-28132
;321;167;-27884
;320;167;-27489
;321;167;-27715
;320;167;-27594
;320;167;-27905
;321;167;-27459
;320;167;-27860
;320;167;-27408
;320;167;-27632
;320;167;-28002
;321;166;-27951
;321;167;-27735
;321;167;-27937
;321;167;-27605
;321;167;-27948
;320;167;-27485
;321;167;-28038
;320;167;-27629
;320;167;-27991
;321;167;-27720
;320;167;-28083
;320;167;-27486
;321;167;-28282
;320;167;-27952
;321;167;-27474
;320;167;-27874
;321;167;-27809
;320;167;-27507
;320;167;-27535
;321;167;-28041
;320;167;-27516
;321;167;-27460
;320;167;-27872
;321;167;-27926
;320;167;-27778
;321;167;-27999
;321;167;-28006
;319;167;-27969
;319;167;-27892
;321;167;-27712
;321;167;-27628
;320;167;-27857
;321;167;-27528
;321;167;-27416
;320;167;-27465
;321;167;-27651
;320;167;-27801
;319;167;-28059
;320;167;-27858
;320;167;-28020
;320;167;-28080
;320;167;-27406
;319;167;-27653
;321;167;-27407
;320;167;-27454
;321;167;-27340
;319;167;-27484
;319;167;-27689
;321;167;-27655
;321;167;-27557
;319;166;-27857
;322;166;-27615
;319;167;-27814
;319;167;-27277
;322;167;-27978
;321;167;-27814
;320;167;-28060
;321;167;-27213
;321;167;-27877
;320;167;-27404
;321;167;-27367
;320;167;-27254
;321;167;-27704
;320;167;-27486
;321;167;-27505
;320;167;-27354
;321;167;-27861
;321;167;-27867
;320;166;-27847
;320;166;-27929
;321;167;-27338
;320;167;-27447
;320;167;-27586
;320;167;-27616
;320;167;-27335
;320;167;-27911
;320;167;-27527
;320;167;-27535
;321;167;-27581
;320;167;-27275
;320;167;-27654
;321;167;-27705
;320;166;-27869
;321;167;-27817
;321;167;-27747
;320;167;-27629
;321;167;-27930
;320;167;-27346
;321;167;-27380
;320;167;-27933
;321;167;-27196
;320;167;-27363
;320;167;-27971
;319;167;-27624
;320;167;-27780
;321;167;-27559
;321;167;-27631
;321;167;-27930
;319;167;-27352
;321;167;-27713
;320;167;-27714
;320;167;-27889
;321;167;-27566
;321;167;-27194
;321;167;-27166
;321;167;-27760
;319;167;-27489
;319;167;-27508
;321;167;-27449
;322;167;-27890
;320;167;-27400
;320;167;-27358
;321;167;-27491
;321;167;-27752
;321;167;-27836
;319;167;-27719
;320;167;-28002
;321;167;-27870
;320;167;-27627
;321;167;-27981
;319;167;-27697
;321;167;-27557
;320;167;-27853
;320;167;-27371
;320;167;-27452
;320;167;-27544
;320;167;-27602
;319;167;-27392
;321;166;-27712
;320;167;-27371
;319;167;-27677
;320;167;-27911
;319;167;-27626
;320;167;-27757
;321;167;-27918
;320;167;-27446
;320;167;-27760
;319;167;-27597
;319;167;-27869
;321;167;-27720
;320;167;-27712
;321;167;-27880
;320;167;-27621
;321;167;-27929
;320;167;-27991
;320;167;-27523
;319;167;-27777
;321;167;-27730
;320;166;-27899
;320;167;-27770
;320;167;-27832
;320;166;-27776
;320;167;-27880
;321;167;-27899
;320;167;-27717
;319;167;-27535
;321;167;-27344
;321;167;-27495
;320;167;-27348
;320;166;-27963
;321;167;-27735
;321;167;-27758
;320;167;-27505
;320;167;-27859
;319;167;-27469
;321;167;-27411
;319;167;-27430
;320;167;-27320
;321;166;-27891
;319;167;-27859
;320;167;-27264
;320;167;-27880
;321;167;-27372
;320;167;-27658
;319;167;-27740
;320;167;-28100
;319;167;-27653
;320;167;-27904
;320;167;-27991
;319;166;-28063
;321;167;-27918
;319;167;-27595
;321;167;-27436
;320;167;-27613
;320;167;-27607
;320;167;-27919
;320;167;-27302
;320;167;-27593
;319;167;-27877
;320;167;-28085
;320;167;-27513
;320;167;-28059
;319;167;-27718
;320;167;-27410
;321;167;-27256
;319;167;-27713
;320;167;-27321
;320;167;-27787
;320;167;-27775
;319;167;-27394
;320;167;-27536
;319;167;-27865
;318;166;-28068
;320;167;-27460
;320;167;-27362
;320;166;-28119
;320;167;-27766
;320;167;-28127
;319;167;-28257
;320;167;-28330
;320;167;-28112
;320;167;-27810
;320;167;-28040
;319;167;-27565
;319;167;-28106
;320;167;-28212
;321;167;-28101
;320;167;-27875
;320;167;-28309
;320;167;-27727
;320;167;-27898
;320;167;-28168
;320;167;-28184
;320;167;-28085
;320;167;-28279
;319;167;-27803
;320;167;-27582
;320;167;-28268
;321;167;-28144
;321;167;-28193
;321;167;-28238
;320;167;-28309
;319;167;-27859
;321;168;-27635
;319;167;-27876
;320;168;-27773
;319;167;-28509
;320;167;-28353
;319;167;-27983
;319;167;-28050
;319;167;-28015
;319;167;-28522
;321;167;-27805
;321;167;-28183
;320;167;-28474
;320;167;-28533
;320;167;-28159
;321;168;-28342
;319;168;-27845
;320;167;-28039
;321;167;-28213
;319;167;-28427
;320;167;-28077
;321;167;-28285
;319;167;-28607
;320;167;-28461
;320;167;-28676
;320;167;-28679
;321;167;-29057
;319;167;-29291
;320;168;-29109
;319;168;-29504
;320;168;-29348
;320;168;-29720
;319;168;-29958
;320;167;-30173
;320;168;-31302
;319;168;-32035
;320;168;-32157
;320;168;-32425
;321;168;32185
;321;168;-30556
;320;168;-30900
;320;168;-31598
;321;168;-32751
;320;168;-31738
;319;168;-31802
;320;168;32355
;319;168;-32652
;320;168;31750
;319;168;31328
;319;168;31514
;320;168;30802
;319;168;30288
;320;168;29956
;319;168;28684
;319;168;28483
;321;168;27279
;320;168;27244
;320;168;27830
;319;168;29101
;319;168;28527
;319;168;29428
;321;168;28449
;321;168;28367
;319;168;27504
;320;168;27569
;320;168;26925
;321;168;26659
;320;168;26492
;320;168;25776
;320;168;23719
;320;168;21923
;319;168;20350
;320;168;20047
;320;168;20317
;320;168;20424
;318;168;20704
;320;168;20924
;319;168;20240
;320;168;20179
;320;168;19815
;318;168;19970
;321;168;19091
;320;168;19715
;319;168;19482
;320;168;19024
;320;169;18585
;319;168;18308
;321;168;17699
;318;168;17912
;320;168;16149
;320;169;13183
;320;168;11889
;319;169;12003
;320;168;11744
;320;169;10574
;320;168;9853
;320;169;9712
;320;168;8855
;320;168;8216
;319;169;8757
;319;169;8829
;320;168;9346
;319;169;8497
;319;168;8138
;320;169;7927
;320;168;7360
;319;168;7110
;320;169;7037
;320;168;6720
;320;168;6891
;321;169;7075
;320;169;7334
;320;169;6954
;319;169;7531
;320;169;7390
;319;169;7666
;320;169;7740
;321;169;7214
;320;169;6766
;320;169;6154
;320;169;6131
;319;169;6501
;319;169;6633
;320;169;6667
;319;169;6457
;319;169;6065
;320;169;5929
;320;169;5928
;319;169;5582
;320;169;5952
;320;169;5266
;320;169;5134
;319;169;4481
;320;169;4825
;321;169;-1
;320;169;4990
;319;169;5671
;320;169;5867
;320;169;5606
;320;169;5760
;320;169;5931
;320;169;6775
;319;169;7155
;320;169;6894
;320;169;6889
;319;169;6556
;319;169;6373
;320;169;6837
;321;169;7246
;320;169;7534
;319;169;7856
;320;169;8469
;320;169;8954
;318;170;8967
;319;169;8868
;321;170;9346
;319;170;10014
;320;170;10510
;320;170;10218
;319;169;10292
;320;169;10053
;319;170;10203
;319;170;10697
;319;170;10190
;321;169;10024
;320;170;10551
;319;170;9603
;320;170;9352
;319;170;9232
;320;170;8956
;319;170;8182
;319;170;7694
;320;170;8325
;319;170;8262
;319;170;8559
;318;170;8642
;320;170;8352
;319;170;7869
;320;170;7347
;319;170;7005
;320;170;7253
;321;170;6893
;320;170;6759
;320;170;6421
;319;169;6729
;319;169;5837
;320;169;5545
;320;168;5777
;320;168;6474
;320;168;6600
;321;167;7020
;321;167;7392
;320;167;6927
;319;166;6867
;320;166;6844
;320;166;8199
;320;165;7618
;320;165;7722
;319;165;6508
;321;165;7097
;320;165;6433
;320;165;5855
;320;166;6372
;318;166;5929
;321;166;4308
;319;166;3976
;321;166;3881
;319;167;3617
;320;167;3956
;319;167;4144
;319;168;4265
;319;168;4424
;319;168;-1
;319;168;4864
;319;168;5583
;320;169;5932
;319;169;6256
;319;169;6846
;319;170;6077
;319;170;5280
;320;170;5262
;319;170;4774
;320;170;4622
;319;170;-1
;320;171;5296
